timestamp,DVL-filtered,validity,rpm,depth,Echo,Label
1676970790.912,3.042,VALID,1162,3.524,25.721,TRACKING
1676970791.111,2.943,VALID,1162,3.524,25.721,TRACKING
1676970791.112,2.943,VALID,1161,3.448,25.434,TRACKING
1676970791.311,2.983,VALID,1160,3.485,26.153,TRACKING
1676970791.511,3.047,VALID,1159,3.364,30.0,TRACKING
1676970791.711,2.997,VALID,1159,3.527,30.0,TRACKING
1676970791.911,2.993,VALID,1159,3.527,30.0,TRACKING
1676970791.912,2.993,VALID,1158,3.47,30.0,TRACKING
1676970792.111,3.013,VALID,1157,3.473,29.426,TRACKING
1676970792.311,2.943,VALID,1156,3.448,29.865,TRACKING
1676970792.511,3.018,VALID,1156,3.448,29.865,TRACKING
1676970792.512,3.018,VALID,1156,3.55,29.88,TRACKING
1676970792.711,3.048,VALID,1155,3.5,29.902,TRACKING
1676970792.911,2.994,VALID,1154,3.512,30.0,TRACKING
1676970793.111,3.018,VALID,1153,3.571,30.0,TRACKING
1676970793.311,3.055,VALID,1153,3.508,29.39,TRACKING
1676970793.511,2.983,VALID,1152,3.586,29.952,TRACKING
1676970793.711,3.073,VALID,1151,3.477,29.655,TRACKING
1676970793.911,3.012,VALID,1151,3.436,30.0,TRACKING
1676970794.111,3.072,VALID,1150,3.407,29.883,TRACKING
1676970794.311,3.007,VALID,1149,3.416,29.504,TRACKING
1676970794.511,3.028,VALID,1148,3.41,29.939,TRACKING
1676970794.711,3.023,VALID,1148,3.437,30.0,TRACKING
1676970794.911,3.092,VALID,1147,3.428,30.0,TRACKING
1676970795.111,3.004,VALID,1146,3.414,29.576,TRACKING
1676970795.311,2.985,VALID,1146,3.415,30.0,TRACKING
1676970795.511,3.14,VALID,1145,3.513,30.0,TRACKING
1676970795.711,3.077,VALID,1144,3.457,30.0,TRACKING
1676970795.911,2.938,VALID,1144,3.44,30.0,TRACKING
1676970796.111,3.103,VALID,1143,3.386,29.092,TRACKING
1676970796.311,3.063,VALID,1142,3.455,29.786,TRACKING
1676970796.511,3.058,VALID,1142,3.453,29.502,TRACKING
1676970796.711,3.044,VALID,1142,3.453,29.502,TRACKING
1676970796.712,3.044,VALID,1141,3.418,29.796,TRACKING
1676970796.911,3.059,VALID,1140,3.454,29.697,TRACKING
1676970797.111,2.988,VALID,1140,3.442,29.934,TRACKING
1676970797.311,3.123,VALID,1139,3.529,30.0,TRACKING
1676970797.511,2.975,VALID,1138,3.451,29.823,TRACKING
1676970797.711,3.009,VALID,1138,3.408,30.0,TRACKING
1676970797.911,3.005,VALID,1137,3.423,30.0,TRACKING
1676970798.111,3.124,VALID,1137,3.402,30.0,TRACKING
1676970798.311,3.066,VALID,1136,3.386,30.0,TRACKING
1676970798.511,3.074,VALID,1136,3.386,30.0,TRACKING
1676970798.512,3.074,VALID,1135,3.588,29.512,TRACKING
1676970798.711,3.085,VALID,1135,3.4,30.0,TRACKING
1676970798.911,3.047,VALID,1134,3.485,29.625,TRACKING
1676970799.111,3.028,VALID,1133,3.475,30.0,TRACKING
1676970799.311,3.041,VALID,1133,3.457,30.0,TRACKING
1676970799.511,3.06,VALID,1132,3.503,29.479,TRACKING
1676970799.711,3.063,VALID,1132,3.423,29.811,TRACKING
1676970799.912,3.05,VALID,1131,3.472,29.677,TRACKING
1676970800.111,3.067,VALID,1130,3.474,30.0,TRACKING
1676970800.311,2.74,VALID,1130,3.474,30.0,TRACKING
1676970800.312,2.74,VALID,1130,3.417,29.741,TRACKING
1676970800.511,2.657,VALID,1130,3.417,29.741,TRACKING
1676970800.512,2.657,VALID,1129,3.403,30.0,TRACKING
1676970800.711,2.678,VALID,1129,3.399,30.0,TRACKING
1676970800.911,2.776,VALID,1128,3.431,29.886,TRACKING
1676970801.111,2.752,VALID,1128,3.528,30.0,TRACKING
1676970801.311,2.799,VALID,1127,3.553,29.801,TRACKING
1676970801.511,2.764,VALID,1126,3.399,29.895,TRACKING
1676970801.712,2.793,VALID,1126,3.522,29.758,TRACKING
1676970801.911,2.797,VALID,1125,3.325,30.0,TRACKING
1676970802.111,2.775,VALID,1125,3.302,29.837,TRACKING
1676970802.311,2.808,VALID,1124,3.408,30.0,TRACKING
1676970802.511,2.79,VALID,1124,3.408,30.0,TRACKING
1676970802.512,2.79,VALID,1124,3.367,29.749,TRACKING
1676970802.711,2.877,VALID,1124,3.367,29.749,TRACKING
1676970802.712,2.877,VALID,1123,3.363,29.846,TRACKING
1676970802.911,2.793,VALID,1123,3.362,30.0,TRACKING
1676970803.111,2.822,VALID,1122,3.361,30.0,TRACKING
1676970803.311,2.861,VALID,1122,3.403,29.809,TRACKING
1676970803.511,2.982,VALID,1121,3.284,30.0,TRACKING
1676970803.711,2.842,VALID,1120,3.191,30.0,TRACKING
1676970803.911,2.969,VALID,1120,3.26,30.0,TRACKING
1676970804.111,2.93,VALID,1120,3.26,30.0,TRACKING
1676970804.112,2.93,VALID,1119,3.269,29.911,TRACKING
1676970804.311,2.974,VALID,1119,3.206,29.889,TRACKING
1676970804.511,2.881,VALID,1118,3.201,29.726,TRACKING
1676970804.711,3.009,VALID,1118,3.262,29.779,TRACKING
1676970804.911,2.974,VALID,1117,3.227,30.0,TRACKING
1676970805.111,3.075,VALID,1117,3.224,30.0,TRACKING
1676970805.311,2.983,VALID,1116,3.198,30.0,TRACKING
1676970805.511,3.024,VALID,1116,3.212,29.502,TRACKING
1676970805.711,3.038,VALID,1115,3.19,30.0,TRACKING
1676970805.911,3.028,VALID,1115,3.216,30.0,TRACKING
1676970806.111,3.072,VALID,1114,3.166,29.807,TRACKING
1676970806.311,2.987,VALID,1114,3.166,29.807,TRACKING
